"ratingDate","partial_entry"
"Diulas pada 5 Februari 2020","Sangat bagus untuk pembelajaran dan wisata..kurang leluasa dalam mengeksplor seluruh ruangan. Kurang tersedia tempat rehat setelah berkeliling."
"Diulas pada 21 Januari 2020","Bagus kl datang pas malem, cakep bt foto2 cuma rada2 ngeri2 sedap ...angker karna bangunan kunodidlm gedung banyak foto2 bersejarah tentang gedung dan alat2 telekomunikasi dari masa ke masa.."
"",""
"Diulas pada 8 Januari 2020","Bagus Sekali. Saya berkunjung kamis malam (malam jumat) ke Lawang Sewu Semarang. Sengaja menggunakan jasa guide supaya mendapat penjelasan dan mendapat akses ke semua bagian gedung. Secara keseluruhan gedung ini masih bagus dan terawat. Pada malam hari tampak aroma 'seram' tetapi tetap terlihat 'gagah'. Gedung bersejarah, arsitektural indah dan terpelihara baik. Recommended dech"
"Diulas pada 5 Januari 2020","Sudah lama ingin berkunjung ke Lawang Sewu karena penasaran apa isinya. Ternyata hanya berisi info tentang perkereta apian saja. Sesuai namanya memang banyak sekali jendela/pintunya. Kalau mau ke sini cukup sulit mendapatkan tempat parkir mobil dan mobil hanya bisa parkir di gedung lain disitat lokasi dan jalan kaki menuju lokasi. Cukup sekali berkunjung kesini hanya utk tahu saja krn tdk terlalu banyak hal yg mau dilihat."
"Diulas pada 31 Desember 2019","Dulu pada jaman Belanda pernah digunakan untuk Kantor Kereta Api, lalu digunakan untuk menahan para pejuang Indonesia. terkenal bangunan yang angker juga dulu, tapi setelah di renovasi sampai malam pun tidak terasa horornya."
"Diulas pada 31 Desember 2019","Tempat wisata mistis yg keren ada disini. Bangunannya masih bagus penuh sejarah. Sayang tidak semua bisa dilihat."
"Diulas pada 28 Desember 2019","Ini benar-benar tempat yang indah and eksotik, anda akan kecewa jika ke semarang tidak menyempatkan mampir"
"Diulas pada 28 Desember 2019","Kak ini placenya lumayan karena ga ngeluarin kocek yak. Tpi itu mitos'ny bener gasi? Aku g percaya anj:v"
"",""
"Diulas pada 27 Desember 2019","Keren..gedung terawat dan bersih..bpk guide nya ramah..live musiknya bikin adem..perlu tambahan yg jualan"
"Diulas pada 24 Desember 2019","Bagus tempatnya, capek kelilingnya. Tempat parkirnya terbatas. Sayangnya akses ke penjara bawah tanah gak di buka.Dan akses ke lantai atas di gedung bagian depan ditutup.Bagus untuk mencari obyrk foto untuk medsos"
"Diulas pada 20 Desember 2019","Lawang Sewu, skitar 2 km dr simpang lima kota Semarang ...Lokasi peninggalan Belanda ini terkenal angker, diberi peringkat no.2 terserem disejagad bumi ini (believe it or not = it's up to you to decide ...) ...Lahan & bangunan nya sangat luas srrta sangat kokoh, konon katanya bahan bangunan yg dipakai sengaja didatangkan dr negri Belanda, msh terlihat utuh  & tdk pernah ada renovasi/perbaikan ...Sbetulnya klo di siang hari tdk terkesan angker/serem sm skali, kurang jelas klo stlh magrib tiba ....."
"Diulas pada 13 Desember 2019","Pertama kali kesemarang sendirian untuk ketemu teman disana pas di perjalanan ke kosan dia ada gedung tua gitu namanya lawang sewu. Tempatnya pas saya kira serem pas udah masuk kesananya ternyata keren banget untuk berfoto-foto dan bersih jugaa keren deh pokoknya"
"Diulas pada 1 Desember 2019","Tempat ini lebih menarik didatangi saat menjelang malam karena lampu nyala semua. Sekalipun ada cerita2 mistis tentang tempat ini namun tidak sedikitpun mengurangi daya tarik lawang sewu...banyak pengetahuan sejarah PT Pos ditempat ini...semacam musium pos lah, spot foto jg banyak...lawang sewu salah satu tempat yg wajib dikunjungi jika ke Semarang.Tempat menarik dan bagus"
"Diulas pada 1 Desember 2019","Tempat yg dulu terkenal angker.tdk pernah mampir selama kuliah di semarang, walau dilewati setiap pulang mudik ke rumah. Banyak dikunjungi pelajar, bagus utk belajar ttg sejarah perkereta apian"
"",""
"Diulas pada 20 November 2019","Dalam kunjungan tugas kali ini saya dan keluarga menyempatkan diri untuk mengunjungi Lawang Sewu. Mumpung ada kesempatan..rasanya kurang afdol jika ke Semarang tapi tidak mengunjungi tempat wisata ini.. bagian dari cagar budaya ini nyatanya menarik minat pengunjung untuk menjelajahinya. Kebetulan kami berkunjung di hari Minggu. Dengan tiket masuk 10k unt dewasa dan 5k untuk anak di atas usia 3th. Di sana kita tidak hanya bisa melihat2 dan berfoto diberbagai spot yg instagramable tapi juga bisa menikmati hiburan live music yang melayani berbagai genre lagu meski basic mereka adalah keroncong (adanya hubungan kotak sawer bagi pengunjung).Bagi anak2 tempat ini menarik karena ada tangga untuk menuju lantai 2, jadi bisa main naik turun tangga. Selain itu,ada toko pernak pernik dan baju2 souvernir Lawang Sewu dengan harga terjangkau. Dan kami cukup puas karena sudah mengunjungi tempat ini."
"Diulas pada 20 November 2019","Heiii, kalau kalian ada kesempatan untuk mengunjungi semarang. Kamu harus wajib ke tempat ini. Kenapa ? Tempat ini adalah salah satu iconic semarang dan juga bangunan yang bagus banget. Disitu juga terdapat penjelasan penjelasan tentang lawang sewu tempo dulu dan masih banyak lagi. Tiket masuknya pun di jamin murah banget hihi"
"Diulas pada 19 November 2019","lawang sewu demikian umumnya masyarakat menyebut bangunan tua yg bersejarah..terletak di persimpangan pusat kota semarang jawa tengah.bangunan yg dulunya merupakan bekas kantor kereta api banyak mwnyimpan nilai sejarah."
"Diulas pada 16 November 2019","Semarang banyak sekali wisata yang unik dan mencekam, disana terasa hawa yang lumayan angker karena itu bangunan tua. Pokoknya tempatmya juoss bagusss bangetttt..."
"Diulas pada 14 November 2019","Gedung Lawang Sewu dahulu adalah kantor pusat perusahaan kereta api jaman penjajahan belanda. Sampai saat ini masih terawat dan renovasi masih terus berlangsung. Lantai bawah tanah yg merupakan tempat resapan air utk pendingin gedung saat ini sdh tertutup utk pengunjung. Banyak spot foto yg bagus. Ada juga pemandu wisata lokal dengan bayaran sukarela. Sebaiknya mengunjungi tempat ini sore atau malam hari. Kalau siang, panasnya sangat menyengat dan tidak nyaman bagi pengunjung."
"Diulas pada 14 November 2019","Saya ketempat ini sktr jam setengah 6 sore waktu yang tepat menghabiskan senja sembari menanti datangnya malam.. arstitektur gedungnya khas orientalis, dari satu ruangan ke ruangan lain kita seperti menapaktilas sejarah kereta api di Jawa Tengah, khususnya semarang sejak jaman Hindia Belanda..Cahaya lampu di malam hari membuat gedung ini tampak mempesona layaknya seorang permaisuri. Anda dapat menikmati keindahannya dengan hanya membayar 10ribu rupiah."
"",""
"Diulas pada 11 November 2019","(IDN)tempat tepat di segitiga emas wisata kota semarang (jalan pemuda). dulunya tempat wisata ini tidak terurus, tetapi manajemenya semakin baik dari tahun ke tahun. bahkan sistem tiketing menggaunakan elektronik tap. cukup terjangkau untuk tiket masuk, antara 5000-10.000/orang.Saya sarankan tidak membawa kendaraan pribadi, karena cukup sulit untuk menemukan kantong parkir.Jenis wisata yang ditawarkan berupa wisata sejarah, hiburan, dan ada kafetaria mini di belakang. bagus juga untuk foto-foto. Saya sarankan wisatanya berkelompok, agar bisa berkunjung setelahnya ke museum mandala bhakti. (ENG)Located in the golden triangle of Semarang tourist sites (Pemuda street). This tourist attraction was not maintained, now the management has been improved from year to year. even the ticketing system uses electronic tap. Affordable for admission, between 5000-10,000 / person.I recommend not bringing a private vehicle, because it is quite difficult to find parking lot.The types of tours offered are in the form of historical tours, entertainment, and there is a mini cafeteria behind (idk its called culinary or not). also good for photographs. I suggest a group tour, so that you can visit afterwards to the mandala bhakti museum."
"Diulas pada 6 November 2019","Bangunan yang sekarang telah dicat ulang, membuat bangunan terasa lebih cantik. Bawa kipas ya, angin susah masuk di taman tengah-tengah gedung karena gedungnya terlalu saling berdekatan, jadi celah angin untuk masuk, dikit banget."
"Diulas pada 1 November 2019","kunjungan pertama bersama teman2..belom lagi pada saat itu saya berkunjung kesemua lokasi sampai ke penjara bawah tanahny..ada beberapa lokasi kurang terawat dan juga parkiran untuk mobil susah di jangkaulebih baik naik ojek online…"
"Diulas pada 1 November 2019","First, entrance fee nya terjangkau, apalagi pelajar bisa dpr harga spesial. Memasuki area depan sudah disuguhi bangunan kuno yang sangat menarik, memasuki area dalam suasana tempo dulu lebih terasa. Apalagi di dalam nya banyaj hal hal yg bisa dipelajari. Wajib foto di area dalan yg menunjukan banyaknya pintu di obyek wisata lawang sewu ini. Harus sampe ke rooftop ya, biar ka kurang gitu. Suasana di kamar mandi juga nyaman dan masi terasa bangunan kuno nya. Let's visit Lawamg Sewu Semarang !!!"
"Diulas pada 1 November 2019","Untuk gedung ini salah satu ciri khas dari semarang yang konon ceritanya ini tempat yang sangat angker sekali pun sekarang sudah berkurang, katanya sih begitu hehee...Dulu orang yang imannya lemah gampang kerasukan disana lebih cenderung wanita apalagi yang datang bulan(udah serasa uji nyali ya ehhehhe).Percaya ga percaya sih itu informasi dari yang jaga gedung, tapi kalau mau lebih uji nyali di lantai dasarnya yang paling serem tapi kita ga punya akses utk ke sana karena takutnya terjadi hal yang tidak diinginkan. Untuk biaya masuknya hanya IDR 10k dan kalau mau bisa pakai guide yang mungkin bisa menjelaskan sejarah-sejarah yang ada di dalam tapi bayar lagi loh ehheheheh"
"Diulas pada 31 Oktober 2019","Lawang sewu sudah berbeda pada tahun 2007. Sekarang bersih dan tidak menyeramkan. Bersih, dan selalu ada aktifitas performance. Salut utk pemerintah kota makassar."
"",""
"Diulas pada 28 Oktober 2019","Sudah beberapa kali berkunjung ke Semarang tapi baru kali ini kesampaian untuk masuk ke Lawang Sewu. Gak se-horror yang aku denger sih. Bangunannya emang kolonial banget. Dengan banyak pintu yang entah jumlah tepatnya berapa. Banyak aja. Hahaha. Tips dariku kalau mau berkunjung kesini sih pagi hari ya dan bukan weekend. Jadi gak terlalu ramai. Paling akan ada pemandangan sepasang dua pasang calon pengantin yang prewed."
"Diulas pada 15 Oktober 2019","Tak lengkap rasanya bila ke Semarang tanpa mengunjungi tempat ini.Setiap sudut memiliki makna dan sayang untuk tidak mengabadikan foto ketika berada disini"
"Diulas pada 9 Oktober 2019","Saya warga asli Semarang dan tinggal di Semarang. Saya juga jarang pergi ke Lawang Sewu. Kesan ketika masuk kedalam komplek Lawang Sewu begitu terasa. Seram? Sedikit. Notlagia? Iya. Penataan Lawang Sewu yang sekarang menurut saya sudah cukup bagus bila dibandingkan waktu saya datang pertama kali ke tempat ini (tapatnya bersama ibu saya ketika saya masih SD). Sarang laba-laba sudah berkurang, semak belukar juga, bangunan tidak terlihat tua dibandingkan beberapa tahun ke belakang. Menurut saya, ada baiknya jika di Lawang Sewu diadakan sebuah pentas seni (musik atau drama) yang jadwalnya rutin sebulan sekali agar lebih menarik pengunjung lebih banyak lagi.Pesan terakhir saya, semoga hantu disana bisa lebih akrab lagi dengan manusia yang datang. Hahahaha (bercanda)."
"Diulas pada 7 Oktober 2019","Salah satu tempat bersejarah di kota semarang ,dengan desain bangunan yang sangat khas dengan zaman penjajahan era belanda dahulu ,"
"Diulas pada 20 September 2019","Tempat bersejarah. Wajin datang untuk melihat sekitaran tempat ini,karena selain keliatan seperti gedung kuno ada juga sejarah dibaliknya. Lebih baik pergi saat siang agar tidak terlalu horor"
"Diulas pada 17 September 2019","Gedung tua yang pernah menjadi kantor PJKA kembali dipugar dan di perbaiki, kesan angker sudah tidak nampak berganti dengan bangunan klasik yang resik dan nyaman untuk dikunjungi. datanglah pagi hari untuk menikmati suasana yang lebih nyaman."
"",""
"Diulas pada 17 September 2019","JIka ada tamu atau teman datang ke Semarang mereka Selalu bertanya Lawang Sewu seperti apa sich? Ayuuuk kuantar kesana dan setelahnya mereka selalu ckckckc hebat ya bagus banget"
"Diulas pada 15 September 2019","Kalo ke Semarang, harus mampir ke Lawang Sewu yg merupakan salah satu destinasi tujuan wisata. Lawang Sewu merupakan bekas peninggalan Belanda yang terdiri dari banyak ruang dan pintu, konon mencapai 1000 pintu maka disebut Lawang (pintu) Sewu (Seribu). Tiket masuk Rp. 10.000 untuk dewasa. Buka mulai pagi hingga malam hari dan menyediakan pemandu wisata yang dapat menjelaskan tentang kondisi Lawang Sewu dan sejarahnya.Apabila ingin berfoto di area taman, ada pohon besar yang sering digunakan wisatawan untuk duduk2 melepas lelah dan mengambil foto."
"Diulas pada 15 September 2019","Bagi beberapa kelompok orang Lawang Sewu masih dianggap sebagai tempat horor & menyeramkan. Anggapan ini tidak sepenuhnya salah karena memang kesan pertama kami saat pertama memasuki area juga seperti itu. Tapi kesan itu tidak menghalangi kami untuk melanjutkan wisata. Banyak informasi terkait perkembangan perkeretaapian di Indonesia sejak zaman kolonial dan juga beberapa diorama yang bagus. Di dalamnya juga terdapat tempat makan CFC jadi saat anda kelaparan setelah berjalan cukup lama di area yang sangat luas ini anda bisa langsung bisa pesan makanan di CFC.Untuk tiket masuk sangat murah, yaitu Rp. 10rb untuk dewasa & Rp. 5rb untuk anak-anak. Anda juga bisa membayar menggunakan aplikasi OVO & GoPay untuk mendapatkan cashback (cashback OVO 30%)"
"Diulas pada 9 September 2019","Bangunan dengan arsitektur indah yang masih terawat dengan sangat baik dan menyipan berbagai sejarah dari jaman ke jaman."
"Diulas pada 6 September 2019","pelayanan guidenya bagus, tempat wisata yang edukatif, tempatnya bersih sampai tangga n pintu-pintu yang banyak pun hampir g ada debunya, perawatannya bagus"
"Diulas pada 6 September 2019","Malem-malem diajak kesini ma cabang Semarang, ngerjain banget dah...tempatnya luas banget, lampunya terang banget, malem-malem masih banyak juga yang kesini..."
"",""
"Diulas pada 4 September 2019","Salah satu tempat bersejarah di Semarang. Lokasinya di pusat kota, mudah dicari karena bangunannya besar dan megah. Ciri khas dari Lawang Sewu ada lokomotif di halaman depan yang menjadi simbol bahwa gedung tersebut bekas kantor kereta api jaman dulu.Saya sudah lupa berapa tiket masuknya, karena datang kesini sebenarnya sudah 3-4 kali dari sebelum dipugar (kira-kira 2009/2010) sampai seperti sekarang. Dulu waktu pertama kali datang, saya masih bisa ke lantai paling atas dan sempat turun ke bawah juga, kalau kata tour guidenya bekas tempat tahanan di eksekusi. Dan ada beberapa ruangan yang angker, wisatawan dilarang masuk. Yang pasti waktu pertama kesana suasana mistisnya masih terasa, tapi terakhir ke Lawang Sewu beberapa bulan lalu sudah lebih bagus dan tidak terkesan mistis. Di beberapa ruangan ada koleksi benda-benda, diorama, dan informasi tentang Lawang Sewu."
"Diulas pada 4 September 2019","Bangunan bersejarah peninggalan jaman penjajahan Belanda yang sangat luar biasa.  Bangunan dengan ""seribu pintu"" yang sangat indah dan kokoh, dan masih terawat dengan apik."
"Diulas pada 21 Agustus 2019","Dengan mengunjungi gedung lawang sewu seolah kita berada d masa laluDengan bangunan yg masih kuno penuh makna sejarahSetiap sudutnya bisa dijadikan spot foto"
"Diulas pada 18 Agustus 2019","Tempat klasik yang instagramable. kalau dikatakan angker enggak sih.disini dipajang beberapa peninggalan jaman dahulu jadi bisa menambah wawasan secara langsung"
"Diulas pada 10 Agustus 2019","Lawang sewu adalah bangunan jaman belanda dengan pintu yang banyak, karena terlalu banyak maka disebut ""sewu"" yang artinya seribu.Bangunan ini telah dipugar di jaman pemerintahan presiden SBY, dan sekarang menjadi objek wisata yang populer di Semarang.Cukup menarik, selain karena ke-khas-an dari bangunan nya, juga sejarah dari lawang sewu ini dan ada nya jalan bawah tanah yang hingga saat ini masih menjadi misteri bagi kita semua."
"Diulas pada 9 Agustus 2019","Saya pernah mengunjungi Lawang Sewu berkali-kali. Tempatnya bersih dan sudah bagus. Di dalemnya bisa melihat sejarah perkereta apian di Indonesia. Ada foto, seragam petugas KAI masa lalu dsb. Bangunannya apik buat foto-foto dan menuhin galeri hehe"
"",""
"Diulas pada 5 Agustus 2019","Sebagai bangunan bersejarah, Lawang Sewu layak dikunjungi. Setiba di hotel pada sore hari (kebetulan dekat sekali dengan Lawang Sewu) setelah santap sore, saya menjelajahi hampir seluruh bangunan (kecuali ada beberapa bagian yang tidak boleh dikunjungi oleh umum) saat sore hingga malam hari, saya tidak merasakan seram. Mungkin karena hampir di setiap sudut bangunan nampak pengunjung ya? Tak puas menikmati keindahan kaca patri di malam hari, keesokan harinya saya memuaskan diri menjelajahi Lawang Sewu. Keindahan sinar matahari pagi yang menembus kaca patri memang mempesona! Kemegahan bangunan masih terlihat jelas. Anda menyukai bangunan kuno? Kunjungilah Lawang Sewu! Tiket masuk hanya Rp. 10.000 untuk dewasa dan Rp. 5.000 untuk anak-anak. Di halaman juga ada kedai makanan cepat saji."
"Diulas pada 27 Juli 2019","kami berkunjung karena ingin tahu,karena yang beredar dan terkenal karena horor.tetapi di lawang sewu bangunannya bagus dan kokoh"
"Diulas pada 25 Juli 2019","Ini tempat legendaris dan fenomenal banget sih karena jadi “icon” nya kota semarang.. sampai sekarang pun masih jadi tempat rekomendasi untuk turis bahkan orang indonesia nya aja masih ramai berdatangan... kebanyakan orang datang ke tempat ini cuma untuk foto foto bahkan jadi tempat “pre-wedding” walau tempat ini banyak nyamuk yaa mungkin karena bangunan lama juga jadi yaudalah yaa demi foto foto gak apa apa digigit nyuk bentol sedikit hehe"
"Diulas pada 23 Juli 2019","kesini krna emg ini iconic utk semarang ya. jalan dari stasiun poncol ga jauh kok hehe kalo yg biasa jalan aja deh. trs enakan kalo kesini ituh pagi ya, soalnya kalo siang ituh ramee dan susah jadinya buat poto-poto. disini ada tour guidenya juga kalo mau pake itu juga, kalo enggak sih emg rada binggung kalo yg baru pertama kali kesini. binggungnya mau explore bagian mana dulu, sedangkan kalo ada tour guidenya dia disini yg ngasih kita info dan yg mutusin mesti kemana trs lewat mana.tapi ada beberapa spot poto yg bagusnya emg malem sih, tapi masih banyak kok kalo pas pagi dan matahari baru nongol ituh jadi baguss baatss poto kita.utk ruangan bawah tanahnya masih direnovasi, krna kedepannya nanti ruangan ituh dibuka untuk umum, sebelumnya juga dibuka sih utk umum dan pernah juga ada acara uka uka disitu haha. tapi akses masuknya ituh rada susah, krna kan tergenang air jadi mesti pake boots. nah ini lagi direnovasi mungkin nantinya biar memudahkan pengunjung.oiya kalo pake tour guide juga dia nyediain jasa poto kok, jadi biaya tour guide udh sma kang poto alias tour guidenya yg motoin kita hahaha"
"Diulas pada 22 Juli 2019","Exs bangunan stasiun ini lumayan rame di hari libur. To crowded kadang. Dan yang agak sulit mencari tempat parkir meski sdh ada alternatifnya di museum Mandala Bhakti yg ada di seberang. Harga tiket ngak mahal 10k saja. Sayang ngak bisa liat yg bawah tanah. Barangkali ada pembatasan pengunjung akan lebih enak. Yg pingin tau sejarahnya ada lokal Guiede( dr museum) yg bisa di ajak. Overal suka dengan museum iniMiniatur kereta dan alat2 komunikasi kuno banyak disini. Plus musik live keroncongnya."
"Diulas pada 19 Juli 2019","Lawang sewu dati luar sudah ada aura mistisnya dan terutama saat masuk suasana seram makin terasa..saran saya hati hati bila pergi rombongan bisa tersesat"
"",""
"Diulas pada 15 Juli 2019","Salah satu bangunan khas yang menjadi landmark kota semarang,Utk wisatawan dari luar kota, tempat ini boleh menjadi rujukan utk dikunjungi"
"Diulas pada 15 Juli 2019","Yang suka sejarah, arsitek jadul wajibul kudu datang ke sini. Banyak ilmu yang akan anda dapatkan dari tempat ini"
"Diulas pada 13 Juli 2019","Tempat ini adalah salah satu ikon dari KOTA SEMARANG. Jadi kalo belum ke sini, rasanya masih ada yang kurang."
"Diulas pada 8 Juli 2019","25 Mei 2019 saat perjalanan mudik ke Jawa Timur menyempatkan mampir ke Semarang dan berkunjung ke Lawang Sewu untuk berfoto, tempatnya cukup luas, dijaga dan di rawat dengan baik, suasana yang asri. Ada area yang menyuguhkan musik keroncong jawa, musik nya bisa didengar sambil menikmati berkeliling di area Lawang Sewu.Dan ada yang unik ketika masuk ke toilet nya, pintu toilet sangat besar dan nuansa jaman dulu nya terasa sedikit horror."
"Diulas pada 4 Juli 2019","Lawang sewu sangat cocok dikunjungi Di waktu Malam jumat, agar efek seremnya berkali Kali lipat. Agar tidak nyasar Dan tidak hilang disarankan agar menyewa tour guide untuk mengelilingi lawang sewu dengan Di pandu oleh tour guide Kita selain bisa berkeliling ke semua spot Kita juga mendapat Kan sejarah lawang sewu Dan juga bisa dibuka auranya agar bisa melihat mahluk hakus sekitar 😀"
"Diulas pada 3 Juli 2019","Tempat bersejarah yang berada ditengah kota semarang. Gedung dengan arsitektur indah dan mempunyai banyak pintu didalamnya. Untuk yang kesemarang jangan lupa mampir kelawang sewu dan dapatkan foto foto terbaik"
"",""
"Diulas pada 2 Juli 2019","Menyelami Lebih Dalam Makna Simbolis Kaca Patri di Lawang Sewu. Kaca patri ini tidak sekadar kaca patri biasa, namun di balik keindahannya mengandung banyak sekali maknanya di setiap gambar. Kaca patri sebelah kiri atas melambangkan kemakmuran dan keindahan alam tanah Jawa, kekayaan flora dan fauna serta perpaduan seni budaya barat dan timur yang kesemuanya melindungi perjalanan kereta api. Kemudian kaca patri sebelah kanan atas melambangkan yang berarti tentang kota Semarang dan Batavia pada masa itu yang berada dibawah kekuasaan Kerajaan Belanda. Kaca patri bagian tengah atas menggambarkan Kota Maritim yaitu Batavia dan Semarang, kedua kota yang merupakan bandar–bandar besar, dan sebagai pusat aktivitas maritim untuk mendukung kesejahteraan kota Amsterdam. Hal ini juga kita bisa lihat dari sejarah sebelum kolonial masuk, bandar Semarang tersebut sudah ramai sejak zaman dahulu kalalebih tepatnya sejak zaman Mataram Kuno. Penasaran pengen ke Lawang Sewu dan pengen tau selengkapnya mengenai Lawang Sewu? Yuk konsultasikan dengan kami.More Info & Booking:JH HOLIDAY TOUR & TRANSPORTWa : 0813-5837-5556Telp : 0813-5837-5556"
"Diulas pada 1 Juli 2019","Salah satu icon dan merupakan bangunan bersejarah di kota Semarang yaitu Gedung Lawang Sewu yang kondisinya masih terawat bahkan dijadikan obyek wisata sehingga saat ini menjadi salah satu andalan wisata yang sekaligus menjadi kebanggan kota Semarang. Maka saat kami kedatangan tamu dari luar negeri segera kami ajak berwisata ke tempat ini, dan tak putus-putusnya mereka berkata sambil mengacungkan jempolnya, *Very Good - So Wonderful*"
"Diulas pada 27 Juni 2019","Gedung nya terawat rapi dan bersih. Harga tiket masuk sangat terjangkau. Sebaiknya datang di sore hari karena pengunjung yang datang mulai berkurang sehingga lebih mudah untuk pengambilan gambar."
"Diulas pada 21 Juni 2019","Cuma jalan kaki saja dari hotel tempat kami menginap 😊 Untuk harga karcis masuknya antara 10.000 rupiah"
"Diulas pada 21 Juni 2019","Sehabis olahraga jalan pagi, sy dan istri tertarik masuk ke gedung ini. Setelah membeli karcis kami mulai berkeliling ditemani guide (sy memutuskan menggunakan guide utk lbh tau ttg gedung ini). Semua sudut gedung kami datangi termasuk ruang dibawah atap yg semua dari kayu. Menarik mengetahui bangunan jaman dulu tapi tidak ada suasana yg menyeramkan. Guide berfungsi ganda, bisa menjadi fotografer kita, tdk perlu selfi ataupun wefi."
"Diulas pada 18 Juni 2019","Sangat antik di sana ya.. keren sih masih terawat sampe sekarang, harus nih dateng ke sini salah satu icon kota semarang!"
"",""
"Diulas pada 15 Juni 2019","Kami berkeliling dengan tour guide yang menjelaskan dengan detil kisah setiap ruangan yang ada. Cantiknya bangunan bersejarah yang masih terawat dengan baik. Udaranya sejuk. Kita naik sampai atas sambil merinding mendengarkan sejarah yg kelam. Tak lupa berfoto di banyak spot menarik disini."
"Diulas pada 14 Juni 2019","ikon kota semarang, untuk masuk tiket cukup murah meriah, ada guide lokal yang bisa menerangkan sejarah bagunan tersebut, areal nya cukup luas, buat foto cukup bagus, cuma kendala bagi yang membawa mobil karena tidak disediakan tempat parkir, jadi harus parkir diareal luar gedung dengan posisi parkir liar, saran aja lebih baik parkir di areal mall carefour sebelum lawang sewu,,lebih aman,, jalan dikit tak masalah yang penting dapat parkir"
"Diulas pada 7 Juni 2019","Lawang Sewu sebagai sebuah museum, cukup menarik... arsitektur yg masih terjaga dr jaman dulu dan masih terawat...Penerangan sangat baik dan pengunjung bisa mengeksplorasi bangunan ini.Hanya saja karena banyak acara di televiai yg seringkali mengangkat sisi angker dr bangunan ini, maka terkadang terasa suasana mistis yg disebabkan oleh pikiran-pikiran kita sendiri"
"Diulas pada 2 Juni 2019","Keren arsitektur bangunannya, wajib kesini kalo singgah ke kota Semarang. Lokasinya juga strategis, karena berada di tengah kota Semarang, jadi dekat dengan berbagai lokasi.. katanya si lebih keren waktu malam hari + lebih kerasa aura2 mistisnya 😄 .. harga tiket untuk dewasa 10k, dan anak2 (dibawah 12 tahun) 5k, cukup terjangkau.Saran :Kalo datang dihari liburan, bisa datang lebih pagi biar dapet tempat pakirnya"
"Diulas pada 20 Mei 2019","Wisata sejarah dan ikon Semarang,lokasi tengah kota.tarif tiket dewasa Rp 10.000 dan utk tarif pemandu Rp 30.000"
