Ulasan,Sentiment Score,Sentiment
malam malam diajak kesini sama cabang semarang ngerjain banget sudah tempatnya luas banget lampunya terang banget malam malam banyak yang kesini,-11,negatif
salah satu tempat bersejarah semarang lokasinya pusat kota mudah dicari bangunannya besar megah ciri khas lawang sewu lokomotif halaman depan menjadi simbol gedung tersebut bekas kantor kereta api jaman dahulu lupa berapa tiket masuknya datang kesini sebenarnya kali sebelum dipugar kira kira seperti sekarang dahulu waktu pertama kali datang lantai paling atas sempat turun bawah kalau kata tour guidenya bekas tempat tahanan eksekusi beberapa ruangan angker wisatawan dilarang masuk pasti waktu pertama kesana suasana mistisnya masih terasa terakhir ke lawang sewu beberapa bulan lalu sudah lebih bagus tidak terkesan mistis beberapa ruangan ada koleksi benda benda diorama informasi lawang sewu,-44,negatif
bangunan bersejarah peninggalan jaman penjajahan belanda sangat luar biasa bangunan seribu pintu sangat indah kokoh masih terawat apik,-8,negatif
mengunjungi gedung lawang sewu kita berasa di masa laludengan bangunan yang kuno penuh makna sejarahsetiap sudutnya dijadikan spot foto,7,positif
tempat klasik instagramable kalau dikatakan angker enggak sih disini dipajang beberapa peninggalan jaman jadi menambah wawasan langsung,2,positif
lawang sewu bangunan jaman belanda pintu banyak terlalu banyak disebut sewu artinya seribu bangunan telah dipugar jaman pemerintahan presiden surabaya sekarang menjadi objek wisata populer semarang cukup menarik karena khas an bangunan nya sejarah lawang sewu dan nya jalan bawah tanah hingga ini menjadi misteri kita semua,-36,negatif
pernah mengunjungi lawang sewu berkali kali tempatnya bersih sudah bagus dalamnya melihat sejarah perkereta apian indonesia foto seragam petugas kai masa lalu bangunannya apik buat foto foto memenuhi galeri hehe,11,positif
bangunan bersejarah lawang sewu layak dikunjungi setiba hotel sore hari kebetulan dekat sekali lawang sewu santap sore menjelajahi hampir seluruh bangunan ada beberapa bagian tidak dikunjungi umum sore hingga malam hari tidak merasakan seram mungkin hampir setiap sudut bangunan nampak pengunjung tidak puas menikmati keindahan kaca patri malam hari keesokan harinya memuaskan diri menjelajahi lawang sewu keindahan sinar matahari pagi menembus kaca patri memang mempesona kemegahan bangunan terlihat jelas menyukai bangunan kuno kunjungilah lawang sewu tiket masuk rp dewasa rp anak anak halaman ada kedai makanan cepat saji,-35,negatif
berkunjung ingin tahu yang beredar terkenal horor di lawang sewu bangunannya bagus kokoh,-18,negatif
tempat legendaris fenomenal banget sih jadi icon nya kota semarang sekarang jadi tempat rekomendasi turis bahkan orang indonesia nya saja masih ramai berdatangan kebanyakan orang datang tempat cuma foto foto bahkan jadi tempat pre wedding tempat banyak nyamuk ya mungkin bangunan lama jadi yaudalah ya foto foto tidak apa apa digigit nyuk bentol sedikit hehe,-45,negatif
kesini karena memang iconic untuk semarang jalan stasiun poncol tidak jauh kok hehe kalau yang biasa jalan saja deh terus enakan kalau kesini ituh pagi soalnya kalau siang ituh ramee susah jadinya buat poto poto disini tour guidenya kalau mau pakai kalau enggak sih memang rada binggung kalau yang baru pertama kali kesini binggungnya mau explore bagian mana dahulu kalau tour guidenya disini yang memberikan informasi yang mutusin mesti terus lewat mana ada beberapa spot poto yang bagusnya memang malam sih banyak kok kalau pas pagi matahari baru nongol ituh jadi bagus baatss poto untuk ruangan bawah tanahnya masih direnovasi karena kedepannya ruangan ituh dibuka umum sebelumnya dibuka sih untuk umum pernah ada acara uka uka disitu haha akses masuknya ituh rada susah karena akan tergenang air jadi mesti pakai boots nah lagi direnovasi mungkin nantinya biar memudahkan pengunjung oiya kalau pakai tour guide juga dia nyediain jasa poto kok jadi biaya tour guide sudah sama kang poto alias tour guidenya yang motoin hahaha,-27,negatif
exs bangunan stasiun lumayan ramai hari libur to crowded kadang yang sulit mencari tempat parkir meski sudah alternatifnya museum mandala bhakti yang di seberang harga tiket tidak mahal ke sayang tidak lihat yang bawah tanah barangkali pembatasan pengunjung lebih enak yang ingin tahu sejarahnya lokal guiede dari museum yang di ajak overal suka museum iniminiatur kereta alat komunikasi kuno banyak disini ditambah musik live keroncongnya,-1,negatif
lawang sewu dati luar ada aura mistisnya terutama masuk suasana seram makin terasa saran hati hati bila pergi rombongan tersesat,-2,negatif
salah satu bangunan khas menjadi landmark kota semarang untuk wisatawan luar kota tempat boleh menjadi rujukan untuk dikunjungi,-9,negatif
suka sejarah arsitek jadul wajibul kudu datang sini banyak ilmu akan dapatkan tempat,-16,negatif
tempat adalah salah satu ikon kota semarang jadi kalau ke sini rasanya ada kurang,-17,negatif
mei perjalanan mudik jawa timur menyempatkan mampir semarang berkunjung lawang sewu berfoto tempatnya cukup luas dijaga rawat baik suasana asri area menyuguhkan musik keroncong jawa musik nya didengar menikmati berkeliling di area lawang sewu ada unik masuk toilet nya pintu toilet sangat besar nuansa jaman dahulu nya terasa sedikit horror,-21,negatif
lawang sewu sangat cocok dikunjungi waktu malam jumat efek seremnya berkali kali lipat tidak tersesat tidak hilang disarankan menyewa tour guide mengelilingi lawang sewu di pandu tour guide selain berkeliling semua spot juga mendapat akan sejarah lawang sewu juga dibuka auranya bisa melihat mahluk hakus,-17,negatif
tempat bersejarah berasa ditengah kota semarang gedung arsitektur indah mempunyai banyak pintu didalamnya yang kesemarang jangan lupa mampir kelawang sewu dapatkan foto foto terbaik,4,positif
menyelami lebih makna simbolis kaca patri lawang sewu kaca patri tidak sekadar kaca patri biasa balik keindahannya mengandung banyak sekali maknanya di setiap gambar kaca patri sebelah kiri atas melambangkan kemakmuran keindahan alam tanah jawa kekayaan flora fauna perpaduan seni budaya barat timur kesemuanya melindungi perjalanan kereta api kemudian kaca patri sebelah kanan atas melambangkan berarti kota semarang batavia masa berasa dibawah kekuasaan kerajaan belanda kaca patri bagian tengah atas menggambarkan kota maritim batavia semarang kedua kota yang merupakan bandar bandar besar sebagai pusat aktivitas maritim mendukung kesejahteraan kota amsterdam ini kita lihat sejarah kolonial masuk bandar semarang tersebut ramai sejak zaman kalalebih tepatnya sejak zaman mataram kuno penasaran pengen lawang sewu pengen tahu selengkapnya mengenai lawang sewu ayo konsultasikan kami more informasi booking jh holiday tour transportwa telepon,-75,negatif
salah satu icon merupakan bangunan bersejarah kota semarang gedung lawang sewu kondisinya terawat bahkan dijadikan obyek wisata saat menjadi salah satu andalan wisata sekaligus menjadi kebanggan kota semarang saat kedatangan tamu luar negeri segera ajak berwisata tempat dan tidak putus putusnya berkata mengacungkan jempolnya sangat bagus so wonderful,-13,negatif
gedung nya terawat rapi bersih harga tiket masuk sangat terjangkau sebaiknya datang sore hari pengunjung datang mulai berkurang lebih mudah pengambilan gambar,-8,negatif
cuma jalan kaki dari hotel tempat menginap harga karcis masuknya rupiah,-8,negatif
sehabis olahraga jalan pagi saya istri tertarik masuk gedung setelah membeli karcis mulai berkeliling ditemani guide saya memutuskan menggunakan guide untuk lebih tahu tentang gedung semua sudut gedung datangi termasuk ruang dibawah atap yang semua kayu menarik mengetahui bangunan jaman dahulu tidak suasana yang menyeramkan guide berfungsi ganda menjadi fotografer tidak perlu selfi ataupun wefi,-20,negatif
sangat antik sana keren sih terawat sampai sekarang nih datang sini salah satu icon kota semarang,-3,negatif
berkeliling tour guide menjelaskan detil kisah ruangan ada cantiknya bangunan bersejarah masih terawat baik udaranya sejuk naik atas merinding mendengarkan sejarah yang kelam tidak lupa berfoto banyak spot menarik disini,-21,negatif
ikon kota semarang masuk tiket cukup murah meriah guide lokal bisa menerangkan sejarah bagunan tersebut areal nya cukup luas buat foto cukup bagus cuma kendala membawa mobil tidak disediakan tempat parkir jadi parkir diareal luar gedung posisi parkir liar saran saja lebih baik parkir areal mall carefour lawang sewu lebih aman jalan dikit tidak masalah yang penting parkir,-43,negatif
lawang sewu sebuah museum cukup menarik arsitektur yang terjaga dari jaman dahulu masih terawat penerangan sangat baik pengunjung mengeksplorasi bangunan hanya karena banyak acara televiai yang seringkali mengangkat sisi angker dari bangunan maka terkadang terasa suasana mistis yang disebabkan pikiran pikiran sendiri,-7,negatif
keren arsitektur bangunannya wajib kesini kalau singgah kota semarang lokasinya strategis berasa tengah kota semarang jadi dekat berbagai lokasi katanya sih lebih keren waktu malam hari lebih kerasa aura mistisnya harga tiket dewasa ke anak dibawah tahun ke cukup terjangkau saran kalau datang dihari liburan datang lebih pagi biar dapat tempat pakirnya,-8,negatif
wisata sejarah ikon semarang lokasi tengah kota tarif tiket dewasa rp untuk tarif pemandu rp,3,positif
menyusuri pintu pintu melihat sejarah bergabung rombongan menggunakan guide dijelaskan sejarah bangunan berfoto foto banyak spot gedung cantik terkesan mistis paling suka pertunjukan keroncong halaman tengah menyaksikan bahkan beberapa teman yang berjoged menikmati alunan musik,-30,negatif
well kalau ditanya berhantu tidak tergantung keyakinan masing beberapa kali ke lawang sewu event sekarang kondisinya tidak seseram dahulu banyak cahaya masuk banyak lampu bersih terawat lihat foto jadul bisa naik kereta jadul pokoknya keren deh buat foto bertema jadul masih ada beberapa ruangan yang dikunci rapat tidak boleh dimasuki pengunjung yang selama tidak sengaja mengganggu menyalahi prosedur tidak diganggu ngeliat yang aneh kalau pengen mencari hantu silakan salahi prosedur yang berlaku hehe,-18,negatif
gedung beesejarah indah bersih dikelola baik terawat instagramable indah sekali di pakai foto yang doyan foto tampak indah luar dalam lebih indah pintu jendela yang berjejer sangat indah abadikan,1,positif
belanda merancang membangun bangunan yang sesuai dengan iklim tropis bahan yang sesuai standard bisa bertahan ratusan tahun beda kualitas bangunan sekarang,5,positif
lawang sewu penuh nilai hystory jalan jalan kesana kayak balik masa lalu gedung sangat megah dijamannya arsiteknya keren kesan serem terhapus pas kesana banyak sekali wisatawan yang berkunjung terus ada pagelaran musik kagum banget arsitek peninggalan lawang sewu masih terjaga baik informasi sejarah kita gali peninggalan benda bersejarah informasi poster terpampang keren abiiss pokoknya,-9,negatif
kalian kalian wisatawan asing domestik yang berkunjung semarang kurang afdol kalau mampir lawang sewu,-7,negatif
lawang sewu berarti pintu seribu merupakan bangunan peninggalan belanda sangat eksotik berasa tengah kota semarang lawang sewu menjadi icon utama kota arsitektur kuno sangat instagramable abadikan bangunan merupakan gedung perkantoran perseroan terbatas kereta api masanya sekarang gedung kosong manfaatkan tujuan pariwisata terkadang di manfaatkan event event tertentu pameran lukisan bazar maupun pagelaran musik jazz lawang sewu tempat wajib dikunjungi bila singgah di kota semarang,-40,negatif
keren kalau malam lampu menyala banyak rungan yang benar kosong jam buka jam malamhanya kalau malam tanda alurnya tidak jelas,-13,negatif
kondisi bangunan bagus terawat terjaga baik bangunan arsitekturnya bagus bernilai seni tinggi enak buat foto foto,13,positif
kunjungan kedua lawang sewu sangat unik banyak spot foto ala jaman dahulu mungkin lebih baik disediakan tempat orang beli minuman karena mengingat cuaca semarang panas terik,-2,negatif
sebenarnya dua kali tempat namun kunjungan kali saya ingin mengambil spot foto bangunannya di perbarui,-13,negatif
sayang cagar budaya kurang natural agak sedikit berbeda yang pernah aku kunjungi disana sekarang belajar mengenal sejarah perseroan terbatas kai mula hingga sekarang,-16,negatif
mohon maaf sebenarnya tempat bagus dikunjungi sangat bersejarah memiliki bentuk bangunan indah katakan arsitekturnya jumlah guide memandu rasa kurang terima kasih haturkan,-19,negatif
kira lawang sewu seperti apa ternyata bangunan dibangun jaman belanda memiliki pintu katanya soalnya tidak ngitung disana ruangan berisikan gambar tulisan sebagian lantai tidak dilihat tiket maauk ke untuk dewasa mahasiswa tersedia penjual makanan souvenir disana saat datang ada semacam live musik yng memainkan lagu daerah alat musik daerah katanya lebih baik datang saat malam hari disana cuacanya lumayan panas diatas rata cuaca kota lainnya,-57,negatif
selalu suka bangunan lama kemarin datang malam hari lampunya cantik memang kurang terang bangunannya besar menarik dijelajahi kalau mau foto malam malam mungkin pakai kamera kamera handphone standar agak susah foto bagus,-15,negatif
lama tidak pulkam lihat tugumuda new instagramable banget sekarang adem ngehibur anak istri piknik murah meriah,1,positif
konsep nya bagus menjaga nilai sejarah pengelolaan manajemen pengelolaan tempat wisata saya perlu dikemas lebih baik membosankan terlalu banyak ruang kosong beberapa informasi masyarakat menyatakan tempat terkadang digunakan uji nyali penampakan hal sesuai misi dibuka nya obyek wisata dibiarkan bukan mungkin image turis digiring persepsi yang kurang baik lebih baik jika ruang tidak dibiarkan terlalu banyak kosong di isi berbagai peninggalan sejarah dikemas lebih modern menggunakan teknologi kreativitas seni pengunjung tidak boring dan mampu membayangkan peninggalan sejarah gedung,-47,negatif
tampilan depan lawang sewu mengembalikan ke masa lalu proset tiket yang teratur tidak memakan waktu lama lebih baik datang lebih awal pagi hari menghindari antrean tiket lebih leluasa mengeksplore kira perlu waktu jam untuk perjalanan santai dalan,-1,negatif
lawang sewu bangunan jaman belanda masa lalu megah berdiri berjendela awalnya mungkin difungsikan penjara masa lalu terutama bagian bawah tanahnya memang cukup seram seiring cerita beredar sekarang bangunan menjadi lebih ramah banyak event terselenggara disana bersih terurus megah meski masa berganti zaman berlalu,-18,negatif
merupakan bangunan bersejarah memiliki aura berbeda kolonial mistis yang sangat terasa ditempat,-16,negatif
diambil alih pengelolaannya perseroan terbatas kai langsung dijadikan museum perkereta apian kota semarang gedung lawang sewu semakin hilang kesan horor mistisnya banyak spot foto bisa dinikmati walaupun beberapa area sekarang menjadi tertutup umum,-8,negatif
baru sekali masuk sini ternyata semua sudut jadi objek foto bagus foto menceritakan kota semarang,-8,negatif
travelers suka jalan tempat yang sedikit lebih menantang mistis bersejarah dicoba kesini kalau nyaman siang hari kalau mau menantang sore ke malam,-20,negatif
gedung berasa tengah kota semarang dekat tempat oleh mall berasa jalan protokol masuk berbayar per orang jasa guide bawa mobil parkir mall terdekat jalan kaki m buka sampai malam jam galeri foto pemutaran video,0,negatif
sering main sini dengan tiket ribu bisa keliling sepuasnya ya tadi lawang sewu menjadi menarik bila event yang diselenggarakan disini selebihnay sih menikmati bangunan kuno foto gathering sama teman sayang susah parkirnya,-8,negatif
sekian lama main lawang sewu sekarang lawang sewu memiliki perubahan sitnifikan cat kebersihan lampu sangat terang jadi tamu wisatawan akan berkunjung lawang sewu tidak seperti fikirkan ternyata lawang sewu memiliki tour gate baik sangat ramahdan biaya tour gate sangat murahyang kesal parkir di sekitaran lawang sewu susah mahal,-49,negatif
salah satu ikon kota semarang sangat ikonik furnitur khas jam dahulu apik masih terawat,-6,negatif
eksotiknya lawang sewu cocok dinikmati menjelang senja hari cuaca cerah tampak perpaduan langit yang semburat berwarna jingga lampu kuning disekitar gedung dinyalakan banyak orang mengabadikan foto selfi lawang sewu habis kita berkeliling mulai gedung utama melalui lorongnya bangunan kuno sangat menarik pecinta selfie,-7,negatif
bagus kesan seram nya tidak dan sejarah perkembangan kereta api yang membuat jadi tahu perkeretaan api indonesia,-10,negatif
gedung arsitektur luar biasa salah satu ikon kota semarang menjadi destinasi wisata kota,-14,negatif
nah kalau sudah di semarang tidak pas kalau tidak lawang sewu disini akan mempelajari sejarah gedung tersebut kalau kesini sih baiknya malam hari biar makin greget hehe,-3,negatif
berkunjung lawang sewu dibawa suasana jaman penjajahan dikenalkan sejarah perkereta apian jawa terutama asal muasal kata sepur disadur bahasa belanda sephore tempat oke foto sudah amat biasa tidak salah mencoba,-26,negatif
landmark nya semarang wajib banget didatangi kalau semarang lokasinya sangat mudah akses karena ditengah kota,-5,negatif
lawang sewu merupakan salah satu bangunan bersejarah terkenal semarang jam buka pukul pagi malam bangunan bersejarah cukup bagus indah telah dipugar banyak tempat spot foto bagus walaupun sudah bisa foto dikaca patri terkenal didalam lawang sewu ada sejarah mengenai bidang kereta api indonesia ada miniatur kereta warna hitam didekat pintu keluar tempat sangat direkomendasikan tujuan wisata sangat padat kalau weekend banyak study tour sekolah maupun study tour umum sekitar semarang ataupun luar kota secara keseluruhan rekomendasi place,-57,negatif
lawang sewu semakin horror jka kita berkunjung malam hari sensasi mistis srasa mantap walo sdah banyak lmpu pnerangan nmun kesan horornya masih mlekat setiap kita lwang sewu,-7,negatif
